Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
CC G1,"0,125","0,135252","0,147722","0,163209","0,182827","0,208133","0,241299","0,285354","0,344521","0,424671","0,533954","0,683624","0,88915","1,17161","1,55941","2,09019","2,81268","3,78786","5,08826","6,79366","8,98103","11,7069","14,9831","18,7512","22,8663","27,1028","31,187","34,848","37,8685","40,1161","41,5504","42,2082","42,1786","41,5778","40,5294","39,1501","37,5429","35,7939","33,9722","32,1315","30,3118","28,5423","26,8431","25,2275","23,7032","22,2742","20,9412","19,7029","18,5567","17,4987","16,5246","15,6296","14,809","14,0579","13,3715","12,7453","12,1751","11,6568","11,1866","10,761","10,3768","10,0311","9,72107","9,44428","9,19847","8,98157","8,7917","8,62718","8,48645","8,3681","8,27086","8,19355","8,1351","8,09453","8,07091","8,0634","8,07118","8,09351","8,12963","8,17883","8,24042","8,31369","8,39793","8,49244","8,59648","8,70931","8,83015","8,9582","9,09265","9,23265","9,37731","9,52576","9,67708","9,83034","9,98462","10,139","10,2926","10,4444","10,5936","10,7395","10,8811","11,0178","11,1488","11,2736","11,3916","11,5024","11,6055","11,7007","11,7877","11,8663","11,9366","11,9985","12,0521","12,0975","12,1349","12,1646","12,1869","12,2021","12,2106","12,2128","12,2091","12,2","12,1859","12,1673","12,1447","12,1184","12,089","12,0569","12,0225","11,9861","11,9483","11,9093","11,8696","11,8294","11,789","11,7488","11,7089","11,6696","11,6312","11,5938","11,5576","11,5227","11,4892","11,4574","11,4272","11,3988","11,3721","11,3473","11,3244","11,3034","11,2842","11,267","11,2516","11,2381","11,2263","11,2163","11,2081","11,2014","11,1963","11,1928","11,1906","11,1898","11,1903","11,1919","11,1946","11,1984","11,2031","11,2085","11,2148","11,2217","11,2291","11,2371","11,2454","11,2541","11,263","11,2721","11,2813","11,2906","11,2998","11,309","11,318","11,3268","11,3355","11,3438","11,3519","11,3596","11,3669","11,3739","11,3804","11,3865","11,3922","11,3975","11,4023","11,4066","11,4105","11,414","11,417","11,4195","11,4217","11,4234","11,4248"
CC G2,0,"0,00373916","0,00902906","0,0164965","0,0270196","0,0418275","0,0626395","0,0918565","0,132826","0,190202","0,270434","0,382408","0,538289","0,754546","1,05316","1,46287","2,02008","2,76889","3,75906","5,04054","6,65295","8,60969","10,8793","13,3707","15,9331","18,3762","20,509","22,1816","23,3122","23,8919","23,9695","23,6286","22,965","22,072","21,0305","19,9063","18,7502","17,5993","16,4795","15,4083","14,3963","13,4493","12,5697","11,7573","11,0104","10,3261","9,701","9,13135","8,61324","8,1428","7,7163","7,33018","6,98113","6,66604","6,38207","6,12661","5,89731","5,69199","5,50871","5,34572","5,20142","5,0744","4,96337","4,86719","4,78481","4,71531","4,65786","4,61169","4,57613","4,55055","4,5344","4,52714","4,52831","4,53746","4,55415","4,57799","4,60858","4,64554","4,6885","4,73707","4,79088","4,84952","4,9126","4,97971","5,05042","5,12428","5,20084","5,27964","5,36018","5,44199","5,52456","5,60738","5,68996","5,77181","5,85242","5,93134","6,00811","6,08231","6,15352","6,2214","6,28562","6,34588","6,40196","6,45364","6,50079","6,5433","6,5811","6,61419","6,6426","6,6664","6,68568","6,7006","6,71132","6,71803","6,72096","6,72033","6,7164","6,70942","6,69966","6,6874","6,67289","6,6564","6,6382","6,61855","6,59767","6,57582","6,55322","6,53008","6,50659","6,48294","6,45931","6,43585","6,41271","6,39001","6,36788","6,34642","6,32571","6,30584","6,28688","6,26888","6,25189","6,23595","6,22108","6,2073","6,19463","6,18306","6,1726","6,16323","6,15494","6,14771","6,14151","6,13631","6,13207","6,12877","6,12635","6,12478","6,12401","6,12399","6,12468","6,12602","6,12797","6,13048","6,13348","6,13694","6,1408","6,14501","6,14952","6,15429","6,15927","6,16442","6,16969","6,17503","6,18042","6,18582","6,19118","6,19648","6,2017","6,20679","6,21173","6,21651","6,22111","6,22549","6,22966","6,2336","6,23729","6,24073","6,24392","6,24684","6,2495","6,2519","6,25403","6,25591","6,25753","6,2589","6,26003","6,26093","6,26161","6,26208","6,26234","6,26241","6,2623"
CC G3,0,"0,00153118","0,00377399","0,00701879","0,0116724","0,0183044","0,0277114","0,0410058","0,0597378","0,0860618","0,12296","0,174537","0,246401","0,346122","0,483767","0,67241","0,928477","1,27158","1,72335","2,30456","3,02991","3,90058","4,89593","5,9681","7,04401","8,03728","8,86713","9,4766","9,84209","9,97196","9,89732","9,66062","9,30612","8,87389","8,39704","7,90115","7,40496","6,92148","6,45925","6,02347","5,61686","5,24047","4,89414","4,57694","4,28748","4,02409","3,78496","3,56825","3,37217","3,195","3,03511","2,891","2,76127","2,64466","2,54002","2,4463","2,36256","2,28796","2,22174","2,16321","2,11178","2,06689","2,02806","1,99485","1,96688","1,9438","1,92529","1,91106","1,90087","1,89449","1,89169","1,89229","1,8961","1,90294","1,91267","1,92511","1,94011","1,95752","1,9772","1,99897","2,0227","2,04821","2,07533","2,10391","2,13375","2,16468","2,1965","2,22903","2,26205","2,29538","2,3288","2,36211","2,39511","2,4276","2,45939","2,4903","2,52014","2,54876","2,57601","2,60175","2,62587","2,64826","2,66886","2,68759","2,70443","2,71933","2,73231","2,74337","2,75254","2,75987","2,76543","2,76927","2,77149","2,77217","2,77142","2,76933","2,76602","2,76159","2,75616","2,74984","2,74274","2,73496","2,72662","2,71781","2,70863","2,69917","2,68952","2,67975","2,66995","2,66018","2,6505","2,64098","2,63167","2,6226","2,61383","2,60539","2,5973","2,5896","2,58231","2,57544","2,56901","2,56303","2,5575","2,55243","2,54782","2,54366","2,53995","2,53668","2,53385","2,53144","2,52943","2,52782","2,52659","2,52571","2,52518","2,52497","2,52506","2,52544","2,52608","2,52696","2,52807","2,52937","2,53085","2,53249","2,53427","2,53617","2,53816","2,54024","2,54238","2,54456","2,54677","2,54899","2,55121","2,55341","2,55558","2,55772","2,55979","2,56181","2,56375","2,56562","2,5674","2,56908","2,57067","2,57216","2,57354","2,57482","2,57599","2,57705","2,578","2,57884","2,57958","2,58021","2,58074","2,58118","2,58152","2,58177","2,58193","2,58201","2,58201","2,58194","2,58181"
CC G4,0,"0,000765588","0,001887","0,0035094","0,00583621","0,00915222","0,0138557","0,0205029","0,0298689","0,0430309","0,06148","0,0872687","0,1232","0,173061","0,241883","0,336205","0,464238","0,63579","0,861675","1,15228","1,51496","1,95029","2,44797","2,98405","3,52201","4,01864","4,43357","4,7383","4,92105","4,98598","4,94866","4,83031","4,65306","4,43694","4,19852","3,95058","3,70248","3,46074","3,22963","3,01173","2,80843","2,62024","2,44707","2,28847","2,14374","2,01204","1,89248","1,78413","1,68609","1,5975","1,51756","1,4455","1,38063","1,32233","1,27001","1,22315","1,18128","1,14398","1,11087","1,08161","1,05589","1,03344","1,01403","0,997427","0,983442","0,971899","0,962643","0,955532","0,950437","0,947244","0,945846","0,946145","0,948049","0,951472","0,956333","0,962553","0,970055","0,978762","0,988599","0,999487","1,01135","1,0241","1,03767","1,05195","1,06688","1,08234","1,09825","1,11451","1,13103","1,14769","1,1644","1,18105","1,19756","1,2138","1,2297","1,24515","1,26007","1,27438","1,288","1,30087","1,31293","1,32413","1,33443","1,3438","1,35221","1,35967","1,36615","1,37168","1,37627","1,37994","1,38271","1,38464","1,38574","1,38609","1,38571","1,38466","1,38301","1,38079","1,37808","1,37492","1,37137","1,36748","1,36331","1,3589","1,35431","1,34958","1,34476","1,33988","1,33497","1,33009","1,32525","1,32049","1,31583","1,3113","1,30691","1,30269","1,29865","1,2948","1,29115","1,28772","1,28451","1,28151","1,27875","1,27622","1,27391","1,27183","1,26998","1,26834","1,26693","1,26572","1,26472","1,26391","1,26329","1,26286","1,26259","1,26249","1,26253","1,26272","1,26304","1,26348","1,26403","1,26468","1,26543","1,26625","1,26714","1,26808","1,26908","1,27012","1,27119","1,27228","1,27338","1,2745","1,2756","1,27671","1,27779","1,27886","1,2799","1,28091","1,28188","1,28281","1,2837","1,28454","1,28534","1,28608","1,28677","1,28741","1,28799","1,28852","1,289","1,28942","1,28979","1,29011","1,29037","1,29059","1,29076","1,29088","1,29096","1,291","1,29101","1,29097","1,2909"
CVS G1,0,"0,00257388","0,00532072","0,00828852","0,0115431","0,0151752","0,0193103","0,0241225","0,0298538","0,0368403","0,0455491","0,056629","0,0709783","0,0898372","0,114908","0,148511","0,193773","0,254844","0,337119","0,447404","0,593945","0,786183","1,03409","1,34701","1,73211","2,19269","2,727","3,32781","3,98315","4,67779","5,3951","6,11877","6,83414","7,52888","8,19332","8,82037","9,40527","9,94523","10,439","10,8867","11,2893","11,6483","11,9658","12,2442","12,486","12,6937","12,87","13,0174","13,1382","13,2349","13,3095","13,3642","13,4007","13,4211","13,4267","13,4193","13,4002","13,3707","13,3321","13,2853","13,2314","13,1714","13,1061","13,0362","12,9626","12,8859","12,8066","12,7255","12,6429","12,5594","12,4754","12,3913","12,3076","12,2245","12,1425","12,0618","11,9827","11,9054","11,8303","11,7574","11,6872","11,6196","11,555","11,4934","11,435","11,3799","11,3282","11,28","11,2354","11,1943","11,1569","11,1231","11,093","11,0665","11,0435","11,0241","11,0081","10,9954","10,986","10,9797","10,9764","10,9758","10,978","10,9826","10,9896","10,9986","11,0096","11,0224","11,0367","11,0524","11,0692","11,087","11,1056","11,1248","11,1445","11,1644","11,1844","11,2044","11,2243","11,2438","11,263","11,2817","11,2997","11,3171","11,3337","11,3495","11,3644","11,3785","11,3916","11,4037","11,4149","11,425","11,4342","11,4425","11,4497","11,456","11,4614","11,4659","11,4696","11,4724","11,4745","11,4758","11,4763","11,4763","11,4756","11,4744","11,4726","11,4704","11,4677","11,4646","11,4613","11,4576","11,4536","11,4495","11,4452","11,4408","11,4362","11,4317","11,427","11,4224","11,4179","11,4134","11,4089","11,4046","11,4004","11,3964","11,3925","11,3888","11,3853","11,382","11,3789","11,376","11,3733","11,3709","11,3687","11,3667","11,3649","11,3633","11,362","11,3608","11,3599","11,3592","11,3586","11,3582","11,358","11,358","11,3581","11,3583","11,3587","11,3592","11,3598","11,3605","11,3613","11,3621","11,363","11,364","11,365","11,3661","11,3672","11,3683","11,3694"
CVS G2,0,"3,4999E-05","0,000157882","0,000403493","0,000820756","0,00147831","0,00247237","0,00393769","0,0060628","0,00911106","0,0134497","0,0195894","0,0282375","0,0403695","0,0573202","0,0808981","0,113521","0,158355","0,219443","0,301743","0,411026","0,553504","0,735112","0,960471","1,2317","1,54744","1,90251","2,28841","2,69447","3,10937","3,52243","3,92454","4,30856","4,66942","5,00386","5,31013","5,58768","5,83685","6,05857","6,25419","6,4253","6,57362","6,70092","6,80894","6,8994","6,97391","7,03398","7,08104","7,11641","7,14131","7,15683","7,16401","7,16377","7,15697","7,14438","7,1267","7,10458","7,0786","7,04929","7,01713","6,98257","6,94601","6,90782","6,86834","6,82788","6,78671","6,7451","6,7033","6,66151","6,61995","6,57879","6,53823","6,4984","6,45947","6,42156","6,38481","6,34933","6,31522","6,28257","6,25148","6,22202","6,19426","6,16825","6,14404","6,12169","6,1012","6,08261","6,06593","6,05116","6,03829","6,0273","6,01817","6,01086","6,00532","6,0015","5,99933","5,99875","5,99968","6,00203","6,00571","6,01062","6,01667","6,02376","6,03177","6,0406","6,05014","6,06029","6,07094","6,08198","6,09333","6,10487","6,11653","6,12821","6,13983","6,15131","6,16259","6,1736","6,18429","6,19459","6,20447","6,2139","6,22282","6,23123","6,2391","6,24641","6,25315","6,25931","6,2649","6,26992","6,27437","6,27827","6,28162","6,28444","6,28676","6,28858","6,28993","6,29085","6,29134","6,29143","6,29116","6,29055","6,28963","6,28841","6,28694","6,28524","6,28333","6,28124","6,27899","6,27661","6,27413","6,27156","6,26894","6,26627","6,26357","6,26088","6,2582","6,25555","6,25294","6,25039","6,24792","6,24552","6,24322","6,24101","6,23892","6,23694","6,23507","6,23334","6,23172","6,23024","6,22888","6,22766","6,22657","6,2256","6,22476","6,22404","6,22344","6,22296","6,22259","6,22233","6,22216","6,2221","6,22212","6,22223","6,22242","6,22268","6,223","6,22338","6,22382","6,2243","6,22483","6,22538","6,22597","6,22658","6,22721","6,22785","6,22849","6,22914","6,22979","6,23043","6,23106","6,23168"
CVS G3,0,"1,42277E-05","6,51603E-05","0,000168885","0,000348012","0,000634289","0,00107224","0,00172426","0,00267762","0,00405428","0,00602423","0,00882373","0,0127799","0,0183431","0,0261284","0,0369675","0,0519672","0,0725704","0,100603","0,13828","0,188137","0,252826","0,334769","0,435664","0,555965","0,694512","0,848478","1,01371","1,18532","1,35839","1,52851","1,69211","1,84653","1,99005","2,12167","2,24102","2,34816","2,44345","2,52749","2,60097","2,66465","2,71932","2,76576","2,8047","2,83687","2,86294","2,88352","2,89918","2,91045","2,9178","2,92168","2,92246","2,92053","2,9162","2,90976","2,90149","2,89163","2,8804","2,868","2,85461","2,84039","2,82551","2,81009","2,79427","2,77815","2,76185","2,74546","2,72907","2,71277","2,69662","2,68071","2,66508","2,64981","2,63495","2,62055","2,60665","2,5933","2,58054","2,56839","2,5569","2,54608","2,53597","2,52658","2,51792","2,51002","2,50288","2,49649","2,49088","2,48602","2,48191","2,47855","2,47592","2,47399","2,47276","2,47218","2,47223","2,47289","2,47411","2,47586","2,4781","2,48079","2,48389","2,48736","2,49114","2,4952","2,49949","2,50398","2,50861","2,51336","2,51817","2,52301","2,52785","2,53266","2,5374","2,54204","2,54656","2,55094","2,55516","2,55919","2,56303","2,56666","2,57007","2,57326","2,57621","2,57892","2,58139","2,58363","2,58563","2,5874","2,58893","2,59025","2,59135","2,59224","2,59293","2,59343","2,59375","2,5939","2,59389","2,59373","2,59343","2,59301","2,59248","2,59184","2,59111","2,59029","2,58941","2,58847","2,58747","2,58644","2,58537","2,58429","2,58318","2,58207","2,58097","2,57987","2,57878","2,57771","2,57668","2,57567","2,57469","2,57376","2,57287","2,57202","2,57122","2,57047","2,56977","2,56913","2,56853","2,568","2,56751","2,56708","2,5667","2,56637","2,56609","2,56586","2,56568","2,56554","2,56545","2,5654","2,56538","2,5654","2,56546","2,56555","2,56566","2,56581","2,56597","2,56616","2,56637","2,56659","2,56682","2,56707","2,56732","2,56758","2,56785","2,56811","2,56838","2,56865","2,56891","2,56917","2,56943","2,56967"
CVS G4,0,"7,11387E-06","3,25801E-05","8,44424E-05","0,000174006","0,000317145","0,000536121","0,000862128","0,00133881","0,00202714","0,00301211","0,00441187","0,00638995","0,00917153","0,0130642","0,0184838","0,0259836","0,0362852","0,0503014","0,0691401","0,0940683","0,126413","0,167385","0,217832","0,277983","0,347256","0,424239","0,506853","0,592659","0,679196","0,764257","0,846053","0,923266","0,995023","1,06083","1,12051","1,17408","1,22173","1,26375","1,30049","1,33233","1,35966","1,38288","1,40235","1,41844","1,43147","1,44176","1,44959","1,45522","1,4589","1,46084","1,46123","1,46027","1,4581","1,45488","1,45075","1,44582","1,4402","1,434","1,4273","1,4202","1,41276","1,40505","1,39713","1,38908","1,38093","1,37273","1,36454","1,35638","1,34831","1,34035","1,33254","1,32491","1,31748","1,31027","1,30333","1,29665","1,29027","1,2842","1,27845","1,27304","1,26798","1,26329","1,25896","1,25501","1,25144","1,24825","1,24544","1,24301","1,24096","1,23928","1,23796","1,237","1,23638","1,23609","1,23612","1,23644","1,23706","1,23793","1,23905","1,2404","1,24195","1,24368","1,24557","1,2476","1,24975","1,25199","1,25431","1,25668","1,25908","1,26151","1,26393","1,26633","1,2687","1,27102","1,27328","1,27547","1,27758","1,2796","1,28152","1,28333","1,28504","1,28663","1,2881","1,28946","1,2907","1,29182","1,29282","1,2937","1,29447","1,29512","1,29567","1,29612","1,29646","1,29671","1,29687","1,29695","1,29694","1,29686","1,29672","1,29651","1,29624","1,29592","1,29555","1,29515","1,29471","1,29423","1,29374","1,29322","1,29269","1,29214","1,29159","1,29104","1,29048","1,28993","1,28939","1,28886","1,28834","1,28783","1,28735","1,28688","1,28643","1,28601","1,28561","1,28524","1,28489","1,28456","1,28427","1,284","1,28376","1,28354","1,28335","1,28318","1,28305","1,28293","1,28284","1,28277","1,28272","1,2827","1,28269","1,2827","1,28273","1,28277","1,28283","1,2829","1,28299","1,28308","1,28318","1,28329","1,28341","1,28353","1,28366","1,28379","1,28392","1,28406","1,28419","1,28432","1,28446","1,28459","1,28471","1,28484"
CI G1,"0,1998","0,225247","0,2583","0,301886","0,360093","0,438627","0,545451","0,691653","0,892636","1,16972","1,55228","2,08046","2,80861","3,80915","5,17658","7,03028","9,51382","12,7868","17,0033","22,27","28,5813","35,7402","43,2939","50,5358","56,6173","60,7634","62,5055","61,8122","59,0541","54,8407","49,8279","44,5774","39,4927","34,8182","30,6705","27,0776","24,0149","21,43","19,2607","17,4442","15,9227","14,6457","13,5702","12,6605","11,8871","11,2264","10,6591","10,1695","9,74532","9,37642","9,05474","8,77377","8,52823","8,31387","8,12721","7,96541","7,82616","7,70754","7,60798","7,52615","7,46097","7,41151","7,37699","7,35675","7,35022","7,35689","7,37632","7,40812","7,45192","7,50738","7,57414","7,65189","7,74027","7,83893","7,94749","8,06554","8,19262","8,32825","8,47188","8,62294","8,78077","8,94468","9,1139","9,28761","9,46496","9,64501","9,82681","10,0093","10,1916","10,3725","10,551","10,726","10,8966","11,0618","11,2205","11,372","11,5153","11,6499","11,7751","11,8903","11,9952","12,0894","12,1729","12,2455","12,3072","12,3583","12,399","12,4296","12,4505","12,4622","12,4653","12,4603","12,4478","12,4285","12,4031","12,3721","12,3363","12,2964","12,2528","12,2063","12,1574","12,1067","12,0546","12,0017","11,9484","11,8952","11,8423","11,7901","11,7389","11,689","11,6407","11,5941","11,5493","11,5067","11,4662","11,4279","11,3921","11,3586","11,3276","11,299","11,2729","11,2492","11,228","11,2091","11,1926","11,1784","11,1663","11,1564","11,1486","11,1427","11,1387","11,1365","11,136","11,137","11,1395","11,1433","11,1484","11,1546","11,1618","11,17","11,1789","11,1886","11,1988","11,2095","11,2207","11,2321","11,2438","11,2556","11,2674","11,2792","11,2909","11,3024","11,3136","11,3246","11,3352","11,3455","11,3553","11,3646","11,3735","11,3818","11,3895","11,3967","11,4034","11,4094","11,4149","11,4198","11,4242","11,4279","11,4311","11,4338","11,436","11,4376","11,4388","11,4395","11,4398","11,4397","11,4393","11,4384","11,4373","11,4359","11,4342"
CI G2,"0,025","0,0391554","0,0590775","0,0870849","0,126421","0,18162","0,259005","0,367379","0,518955","0,730604","1,02547","1,43504","2,00154","2,78056","3,84322","5,27668","7,18065","9,65625","12,7824","16,5759","20,9367","25,5941","30,0872","33,822","36,2209","36,9172","35,8894","33,4529","30,1212","26,4265","22,7912","19,4813","16,6212","14,2353","12,2905","10,7274","9,48048","8,48825","7,69758","7,06485","6,55529","6,14168","5,803","5,52313","5,28977","5,09352","4,92725","4,7855","4,66412","4,55991","4,47043","4,39377","4,32849","4,27343","4,2277","4,19058","4,16153","4,14007","4,12585","4,11856","4,11796","4,12382","4,13597","4,15424","4,17848","4,20855","4,24432","4,28563","4,33236","4,38435","4,44143","4,50343","4,57014","4,64134","4,7168","4,79622","4,87931","4,96574","5,05513","5,1471","5,2412","5,33697","5,43392","5,53154","5,62929","5,7266","5,82291","5,91765","6,01025","6,10014","6,18679","6,26967","6,34832","6,42229","6,49119","6,55469","6,61252","6,66446","6,71038","6,75019","6,78389","6,81153","6,83323","6,84914","6,85951","6,86459","6,86469","6,86014","6,8513","6,83855","6,82229","6,80289","6,78076","6,75628","6,72982","6,70175","6,67241","6,64213","6,61121","6,57993","6,54856","6,51732","6,48644","6,45611","6,42648","6,39772","6,36996","6,34329","6,31782","6,29362","6,27075","6,24926","6,22919","6,21055","6,19335","6,17761","6,16331","6,15043","6,13896","6,12887","6,12012","6,11267","6,10648","6,1015","6,09768","6,09496","6,0933","6,09262","6,09288","6,094","6,09594","6,09861","6,10197","6,10594","6,11046","6,11548","6,12093","6,12675","6,13287","6,13926","6,14584","6,15257","6,1594","6,16627","6,17315","6,17998","6,18673","6,19336","6,19983","6,20612","6,2122","6,21803","6,22361","6,2289","6,23389","6,23858","6,24294","6,24697","6,25067","6,25403","6,25705","6,25974","6,2621","6,26413","6,26584","6,26724","6,26835","6,26917","6,26972","6,27002","6,27007","6,26989","6,2695","6,26891","6,26815","6,26723","6,26616","6,26496","6,26365","6,26225","6,26076"
CI G3,"0,01","0,016303","0,02527","0,0379759","0,0559242","0,0812155","0,11678","0,166693","0,236606","0,334315","0,470501","0,659649","0,921126","1,28029","1,7693","2,42708","3,29716","4,42175","5,82987","7,51798","9,42493","11,4096","13,2485","14,6712","15,4376","15,4256","14,6792","13,3849","11,7942","10,1409","8,59208","7,23847","6,11002","5,19849","4,47683","3,91203","3,47222","3,12977","2,86213","2,65156","2,48442","2,35036","2,24163","2,15243","2,07843","2,01643","1,96404","1,91948","1,8814","1,84883","1,82102","1,79739","1,77753","1,76111","1,74789","1,73766","1,73028","1,72563","1,72361","1,72414","1,72717","1,73263","1,74047","1,75064","1,7631","1,7778","1,7947","1,81374","1,83487","1,85803","1,88315","1,91014","1,93894","1,96944","2,00153","2,03509","2,06999","2,10608","2,1432","2,18119","2,21984","2,25898","2,29837","2,33782","2,37709","2,41594","2,45416","2,49149","2,52773","2,56263","2,596","2,62763","2,65735","2,68499","2,71041","2,73351","2,7542","2,77241","2,78812","2,80133","2,81205","2,82033","2,82625","2,8299","2,83139","2,83085","2,82842","2,82425","2,8185","2,81134","2,80292","2,7934","2,78296","2,77174","2,7599","2,74758","2,73491","2,72201","2,70901","2,696","2,68309","2,67035","2,65787","2,64572","2,63395","2,62261","2,61174","2,60139","2,59157","2,58232","2,57365","2,56557","2,55808","2,5512","2,54492","2,53923","2,53413","2,52961","2,52565","2,52224","2,51935","2,51698","2,51511","2,5137","2,51274","2,5122","2,51206","2,5123","2,51288","2,51378","2,51499","2,51646","2,51817","2,52011","2,52224","2,52454","2,52698","2,52954","2,5322","2,53493","2,53772","2,54054","2,54337","2,54619","2,549","2,55176","2,55447","2,55712","2,55968","2,56215","2,56452","2,56677","2,56891","2,57093","2,57282","2,57457","2,57618","2,57766","2,579","2,5802","2,58126","2,58219","2,58298","2,58364","2,58418","2,5846","2,5849","2,58509","2,58517","2,58516","2,58506","2,58487","2,5846","2,58426","2,58386","2,5834","2,58289","2,58234","2,58175","2,58112","2,58047"
